time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
10,-69.11421299,-70.76682189,-70.81152502,-64.23401804,-66.61151372,-68.34508355,-66.62830878,-73.56304289,-67.28465439,-72.53330862,-70.14602497,-69.85865191,-70.28719885,-71.89688062,-72.44953258,-69.57346646,-75.65765333,-67.1463824,-71.70934517,-71.67797204,-69.35798275,-71.49273193,-76.64980401,-72.58002129,-70.92756588,-80.30427939,-71.18224416,-76.28777275,-67.60777388,-68.49438299,-67.25256525,-70.6287312
11,-68.88113943,-71.46812427,-69.34521216,-67.75477972,-68.29013755,-75.17517258,-71.53206359,-68.52573933,-70.97651872,-71.08077638,-67.00702582,-71.65406094,-64.62812779,-70.95397091,-69.43362449,-68.98754217,-69.50541578,-69.6764137,-69.41672251,-71.85338784,-72.91228825,-69.96851692,-64.36509124,-68.91352705,-67.9504228,-65.66283573,-70.36343589,-75.07365014,-69.1486359,-70.02535869,-73.35163639,-72.33934097
12,-68.20148112,-72.32572644,-65.15435676,-66.53866726,-74.11375246,-69.63442937,-69.42015738,-73.45599351,-68.96648536,-68.25274363,-67.28132799,-70.22022131,-68.89000111,-72.51455927,-70.39796834,-68.37676264,-70.1546761,-68.24266982,-71.24704535,-72.61121706,-75.34022258,-63.81732135,-68.45974546,-67.17621567,-65.83890818,-72.94208797,-66.70841177,-67.01898476,-67.08051013,-66.73285667,-68.89862857,-68.67247786
13,-71.62298358,-72.76915089,-70.83693316,-71.22344579,-65.91954445,-70.76425825,-72.39723503,-70.98243018,-72.06712897,-69.23391451,-75.60121367,-64.27405945,-73.27290551,-68.7492376,-66.82423624,-73.68832609,-66.82527225,-67.28329733,-73.5036612,-69.96417191,-67.01095321,-71.24076522,-67.55625115,-69.38771494,-68.25502448,-72.68909781,-66.45413887,-72.46039141,-66.71208823,-71.34434482,-73.28765196,-67.22813123
14,-65.46531265,-71.20065938,-69.05634831,-73.93611391,-65.67841782,-71.60255551,-69.81405886,-65.29044649,-71.38096328,-70.99679738,-70.46729307,-70.99471284,-68.05777316,-73.50895727,-65.76859649,-71.00425282,-73.03976402,-66.46974529,-71.02016593,-72.0596887,-71.44591118,-71.85679508,-74.63452091,-69.60602224,-63.20325589,-72.01385701,-73.16820643,-72.52448672,-70.54218693,-60.68764456,-72.51012375,-70.04938782
15,-67.45303829,-66.3295542,-66.97333661,-71.27138779,-71.22832605,-72.88086605,-71.03907298,-69.30776913,-72.4736687,-65.81195614,-65.14929781,-66.55823284,-70.24232636,-73.22672123,-70.94118572,-70.75988734,-69.7070195,-68.64039904,-65.41388813,-70.58425184,-66.80113324,-69.70713207,-72.41074304,-69.55294969,-67.86409129,-69.77071364,-68.64328113,-67.5303768,-68.26472177,-72.5769478,-68.3131036,-69.60233817
16,-72.54309202,-68.60360242,-68.62625383,-69.81968114,-68.31445241,-77.22287186,-74.53374243,-69.28750269,-73.14153518,-68.89142959,-68.85326527,-73.32788766,-69.37238091,-69.83070498,-70.93323984,-71.04437816,-68.81776483,-72.09903281,-71.10770482,-71.82668106,-73.29902291,-70.21803298,-73.38524075,-65.06770277,-66.44798627,-71.90279967,-77.24245644,-69.26024963,-69.39863742,-66.75792248,-72.04022214,-74.71888168
17,-71.94053209,-68.32992141,-71.34641744,-68.4558103,-74.37298744,-65.40216294,-68.77164394,-68.82033217,-67.0764182,-69.29027747,-73.43675555,-76.82135049,-70.9537806,-69.97739716,-69.69751473,-70.46472328,-69.49970662,-65.78920027,-71.21838923,-69.6706035,-68.70601821,-70.1949909,-67.82437699,-69.12477255,-75.58612088,-69.51536598,-70.71197704,-69.3710131,-66.82483807,-72.01861151,-72.04869581,-68.97794402
18,-74.80303793,-71.67225048,-75.06480661,-64.62763745,-72.18697648,-67.59089952,-68.257806,-70.67082081,-70.19886718,-69.38709037,-72.35769412,-72.42371223,-70.73902477,-69.2283045,-72.20474355,-63.03910371,-69.78951442,-66.52392689,-72.17871545,-71.69019643,-67.91393916,-70.5656286,-72.9507176,-69.75407052,-67.18777227,-72.33805432,-65.20652004,-71.66327278,-66.64801765,-73.99614208,-70.12541514,-68.941807
19,-74.59098272,-68.02287225,-72.50614674,-69.40769841,-73.70587882,-68.66853789,-71.09804435,-71.62510911,-69.02265701,-69.54140857,-66.42993797,-73.33984067,-70.95257621,-64.49782988,-74.63002249,-75.13806584,-72.41761703,-73.96233755,-69.64403628,-68.7946372,-70.23116713,-73.84995288,-68.52130583,-70.18571312,-70.51534205,-68.96194633,-64.50415637,-68.14590975,-76.98056001,-63.51788285,-74.71694125,-70.56496348
20,-66.5177224,-70.41881499,-71.56709935,-68.69768241,-67.23946062,-71.17380106,-74.05965922,-66.35399302,-70.24714622,-66.04652834,-71.85712747,-68.07168216,-69.47920939,-67.72400359,-68.47120531,-72.98752357,-64.81704116,-69.83327617,-71.93937855,-71.10999742,-74.72787794,-70.33746588,-63.19894434,-64.79987336,-71.74069936,-67.32972447,-67.60690855,-68.82097114,-76.46020696,-69.47996076,-73.84454636,-73.38456073
21,-71.03444284,-71.73512529,-63.07363603,-74.77482296,-74.02361527,-68.59198701,-69.56815711,-64.80664588,-72.63555335,-70.02755684,-71.31096917,-74.866733,-69.75341001,-72.93872525,-62.28097437,-70.39504214,-70.35995832,-66.98871489,-72.63927827,-71.03496507,-70.99193592,-70.36315609,-70.38613611,-70.13800899,-69.02278828,-67.40457205,-74.93452186,-69.84992943,-70.03201814,-68.01199822,-75.10665895,-74.01933073
22,-68.52949342,-70.35918386,-70.74335999,-67.34860502,-69.13954859,-69.38688052,-65.67912685,-70.78087655,-69.32185006,-71.73837495,-74.35332707,-69.75655912,-75.12945336,-74.61979245,-72.0673178,-73.03307465,-66.13302235,-68.15204691,-70.21885579,-69.87043672,-73.09871791,-73.84568486,-70.92587311,-69.71393579,-65.01335584,-67.95318884,-68.82100605,-68.27438419,-71.15522802,-71.75097204,-67.07313861,-69.97727746
23,-69.49814695,-68.96438875,-67.94504416,-66.08665247,-73.72118746,-70.75380532,-73.74383445,-68.61197366,-74.17037273,-71.46348179,-68.12832492,-73.19871236,-72.59401766,-71.58165375,-69.9973581,-68.29123239,-74.14015842,-66.26902926,-72.42125871,-68.75001425,-68.62828343,-69.04464154,-68.98036498,-67.97023946,-69.25151391,-67.57451332,-71.58987295,-69.83965182,-70.44382477,-69.63728081,-73.49634826,-67.36301661
24,-67.7603157,-67.91881038,-68.28224352,-73.08392983,-71.86705905,-69.59730609,-71.09914161,-68.78214746,-66.38886665,-61.76710973,-65.56857767,-71.31943832,-65.12171735,-70.15732089,-71.66578339,-73.17409823,-67.03751618,-67.81268859,-68.55858553,-74.11101247,-68.37712304,-72.98186879,-69.49484941,-70.78912399,-71.65609968,-66.33076016,-63.84852083,-65.17841504,-73.40181189,-66.30326507,-69.25740591,-61.8623575
25,-72.95691959,-70.01799159,-76.43625972,-71.63436373,-70.50573393,-70.65560499,-72.11570188,-69.38331038,-68.17041283,-65.97443208,-73.55953549,-66.96412379,-65.85248917,-71.33828444,-71.12421436,-70.89498074,-70.24872959,-64.97790739,-70.29242691,-72.59959063,-68.16126074,-73.99570671,-67.15770669,-70.66801037,-72.78015578,-70.8875393,-66.56135822,-69.88056706,-70.11328028,-68.23993571,-75.13831499,-74.54657112
26,-69.64882072,-71.59337235,-73.03172936,-71.35456309,-71.31607268,-71.36655002,-69.80752369,-73.11869441,-69.09543495,-75.21455513,-71.11740884,-69.19825905,-62.66934829,-69.48000965,-69.79816401,-68.94622548,-71.0449238,-66.49763049,-73.53938647,-67.902108,-73.36582732,-68.45341495,-71.19218607,-75.75372402,-66.7614123,-69.11039143,-67.85671038,-74.76226959,-69.83133509,-67.68598362,-68.96955219,-70.94999181
27,-71.22313715,-72.76953667,-69.1305826,-71.68383996,-69.67107331,-69.00986137,-71.68433125,-70.17165239,-75.30867647,-70.39276165,-70.93409165,-69.83495604,-70.62815696,-70.92784031,-70.96533963,-69.20655556,-67.34559103,-69.54265365,-68.41183546,-69.9896285,-67.11024776,-69.78959871,-69.69879316,-75.16018923,-69.31042929,-73.78538505,-68.60556996,-68.32063195,-67.66942933,-68.65431992,-67.29150141,-69.7234202
28,-67.79386813,-75.46245807,-68.30353805,-77.05213476,-69.34691894,-67.30207132,-68.62612135,-74.18958388,-69.24602315,-70.77554551,-72.47725174,-67.40677461,-69.87062863,-69.93859941,-69.41621301,-70.84956794,-70.02766059,-71.53381183,-73.61829403,-68.44148515,-69.94222137,-69.83386012,-69.83834215,-67.46911232,-74.68570424,-68.63291617,-76.34095571,-72.04543769,-67.35004935,-71.69668705,-72.2762464,-70.61783287
29,-71.49496995,-72.47267781,-72.79057519,-73.8675485,-69.99968364,-65.84254269,-66.51676525,-65.84267696,-72.80849255,-72.26004144,-67.85924312,-69.28476237,-67.93899356,-68.69531773,-64.91017545,-72.0951438,-68.79740244,-68.36543005,-70.7686056,-69.34183129,-72.59472705,-71.16080063,-69.1756832,-68.64502545,-68.25973787,-67.18357279,-67.3904635,-68.19346522,-69.1606542,-71.47942694,-70.87693778,-66.99608218
30,-73.3123703,-71.00802817,-71.40646912,-73.44217147,-74.27692723,-71.5443143,-72.42481373,-69.72074523,-68.13673636,-68.99412924,-73.9738326,-71.7864295,-71.29282893,-67.69097223,-67.18899765,-68.14365427,-72.13699923,-68.53246172,-68.25401515,-70.29608772,-72.50437063,-67.65884527,-74.80199569,-70.23569664,-72.30510681,-70.07540381,-66.06104625,-69.014926,-72.07782959,-67.15848778,-66.38751892,-74.42302403
31,-66.24367605,-75.69774999,-69.02658169,-67.40852586,-66.05756434,-68.59654188,-68.47459331,-71.69559,-70.77290925,-65.53340645,-70.07802758,-69.55308178,-73.04535828,-72.25052771,-68.61941335,-70.88030261,-68.99062433,-70.02264244,-65.38982288,-73.26206428,-70.08086494,-71.90315477,-63.49998599,-72.07576972,-71.48787802,-70.9375399,-67.14467933,-73.51736489,-72.15310047,-74.59135882,-65.88104738,-73.19377856
32,-72.60278186,-69.58459524,-74.87398196,-71.92964858,-70.1273531,-68.93277975,-68.86950828,-65.83120717,-68.30212316,-76.42947371,-67.08875256,-73.69844059,-64.36260581,-69.57198041,-65.67279707,-75.43015227,-74.73967987,-71.29128142,-69.77270209,-67.23154094,-70.74344816,-70.64817456,-72.97573092,-74.21456525,-70.46142787,-71.00683623,-73.02320465,-68.83506478,-70.2499765,-64.84411259,-69.86409699,-70.25354238
33,-74.46350155,-66.77012452,-70.87203323,-65.90634382,-72.52951756,-70.22392833,-70.5639455,-63.93053973,-65.15420222,-78.0166418,-68.73182301,-70.64813771,-77.14657993,-73.45601859,-73.33675469,-66.44210822,-66.99472042,-72.8437692,-73.20145359,-70.91444171,-73.20530042,-67.09791506,-72.22819922,-71.040659,-74.05958943,-61.97311981,-67.92190671,-72.82643099,-66.96266972,-66.48031067,-73.57267277,-70.83823145
34,-71.86222365,-64.91618393,-68.15885654,-75.70229635,-65.96728504,-65.39477544,-68.96601792,-71.82033283,-64.49638325,-70.35713831,-68.78154065,-69.49188042,-71.55943789,-71.8278125,-71.30545264,-64.79838116,-68.97405803,-69.69056096,-75.09832022,-69.21934062,-67.02058287,-76.89684044,-72.46542386,-71.53634079,-71.61745351,-72.75106401,-65.30567198,-73.2755546,-66.85954493,-67.07282196,-66.98451753,-69.21667505
35,-68.68140937,-75.16299259,-69.51821022,-70.90453319,-73.97947629,-67.96298852,-71.28162046,-71.76410525,-69.60708784,-69.12003357,-68.89294314,-68.59431103,-69.00720845,-73.76927521,-71.48609297,-67.9575941,-71.37945178,-66.88606057,-74.26233355,-72.82946465,-67.74049982,-70.28613444,-72.43085631,-71.71322395,-60.41104459,-68.53985362,-66.15089704,-70.91184975,-75.45276283,-70.41667127,-65.68106812,-68.61925106
36,-72.82679828,-68.11579941,-70.70017952,-78.05400452,-69.28685999,-73.79364516,-73.64704152,-70.67795327,-71.52376309,-67.36983829,-69.80443666,-64.50816908,-70.25833995,-68.84393931,-67.56171389,-68.85973793,-69.88944525,-69.90486678,-74.84508237,-69.42971806,-72.12260046,-69.7842128,-70.52404378,-71.27576006,-70.72937754,-65.94194211,-70.16532161,-73.78586817,-68.02311034,-71.58388483,-74.73394147,-73.41714383
37,-73.40974843,-68.20551524,-61.812436,-70.67260079,-66.69584361,-65.53330136,-74.70280862,-75.23132607,-69.91894982,-69.14126714,-67.98395832,-68.1805308,-65.47941559,-65.52527338,-69.67390685,-64.37744246,-71.33682635,-70.37791548,-70.00606605,-64.52368644,-70.78767151,-69.30754943,-69.73332884,-74.44132837,-66.00647344,-63.59502118,-76.0500459,-72.03962326,-65.24431124,-67.08619606,-74.93911893,-63.98466055
38,-67.88963212,-71.49695646,-70.71235424,-68.42794514,-68.19421032,-68.38390418,-68.24309086,-66.30491986,-71.70637957,-68.19280719,-70.80116401,-71.07119653,-69.68147772,-68.18145408,-68.54280229,-71.35293823,-68.59617314,-65.36757172,-64.59777901,-67.23906894,-71.35042487,-70.76493105,-72.33604005,-72.87928456,-75.99758677,-69.56126587,-63.2977577,-66.04262114,-68.95520143,-67.21707383,-70.56101124,-71.79404653
39,-69.6309156,-72.98869283,-70.74823099,-69.29895734,-69.90843844,-68.27919675,-66.50594082,-71.49751827,-67.5203196,-66.3714405,-74.30868737,-66.09541272,-70.31924155,-67.88483976,-72.85791381,-68.32812162,-67.07332209,-76.70983426,-70.94228661,-65.83207467,-74.60040005,-66.62748711,-72.94168459,-70.14304602,-71.37482805,-66.38595735,-73.71980696,-67.23223716,-69.34242319,-72.13984111,-68.94156484,-66.19749805
40,-68.00787665,-69.20814634,-63.26355611,-71.49228591,-71.70004687,-68.61265774,-72.86254679,-69.4681198,-68.62850244,-69.57511412,-66.66811776,-70.75112696,-68.21722472,-70.61008611,-73.55871813,-69.00172921,-71.43493403,-76.03753293,-71.32736664,-74.59766545,-73.45924152,-70.29616796,-68.25923771,-72.86940846,-70.72123528,-71.744438,-69.8170043,-68.06664385,-73.62402865,-65.79024469,-69.44564338,-69.89823987
41,-67.40071417,-69.87800673,-66.91823559,-70.49729583,-70.4145028,-77.18335896,-71.43163275,-71.99032508,-72.27157181,-69.25306718,-70.45458911,-71.34732199,-67.4290504,-72.43585985,-73.16644246,-68.09810162,-71.02262192,-70.66615318,-73.46446097,-70.91644253,-71.74492858,-70.64974135,-73.05404189,-72.57521896,-69.89828503,-69.90657634,-67.64927759,-63.62965935,-72.09095665,-69.76456453,-66.74837117,-70.03384845
42,-75.22002422,-71.17574766,-70.57031582,-69.73286092,-68.7951275,-68.93392493,-72.25559602,-68.02033922,-66.51461615,-75.01922894,-72.44449566,-68.81469888,-71.90377392,-70.27397621,-72.39595377,-75.20775306,-75.34823167,-70.51964248,-71.06817562,-73.3980785,-68.69433491,-68.74881295,-70.03618942,-67.70701067,-65.99141178,-70.79858308,-69.37418424,-71.17724478,-70.2968514,-69.65588455,-68.58498684,-66.97048385
43,-71.76191827,-69.42632347,-71.00153723,-66.01704258,-71.41514299,-65.63208186,-69.22110642,-70.24254087,-64.90051096,-66.58696996,-69.28449453,-67.16975117,-69.75164671,-66.76990103,-71.20160261,-72.96655688,-76.41873452,-68.0829487,-76.65558499,-70.59422975,-66.84135892,-64.13168946,-66.38700617,-67.94465927,-71.23002749,-70.21078907,-67.43642938,-72.65520103,-62.82581818,-73.26404557,-74.23059201,-71.93699069
44,-66.7693932,-60.77571562,-67.16992345,-70.30693953,-69.51387218,-71.17465109,-74.4496695,-68.23024084,-73.69508917,-70.04955917,-69.59392199,-66.40027383,-70.34813708,-75.55248837,-72.42702059,-65.6245551,-71.44208596,-72.0639522,-72.2121274,-70.43168299,-70.169101,-70.77971214,-67.49816397,-68.13320696,-72.39110238,-68.18207802,-72.80644183,-70.18402848,-67.70452473,-71.90467241,-65.82288916,-67.32265179
45,-74.15513165,-68.55766198,-71.22108527,-70.60424827,-71.02711892,-69.55827022,-71.35182451,-69.09636974,-70.53841907,-68.54885101,-69.87595956,-68.13642839,-76.06144312,-67.96353179,-64.20176458,-70.88214217,-72.8889527,-67.53297347,-67.37790001,-65.52328488,-72.2710378,-75.21223609,-71.99448456,-73.1967893,-74.4065364,-73.99004412,-69.85184106,-69.14350396,-66.8887944,-69.73768259,-65.37832455,-66.04919429
46,-66.02414383,-74.13533937,-69.36954326,-66.56674479,-67.41113461,-65.70017909,-69.79526341,-72.36370411,-67.96824036,-75.56574772,-73.12525457,-66.39431296,-73.59827744,-62.61601706,-65.76782432,-68.75824289,-69.72633288,-67.84335863,-70.75938076,-68.86352697,-63.58741898,-73.99131508,-73.18254696,-70.60632955,-71.62255862,-67.84672327,-63.55703979,-66.27961383,-66.91347509,-67.37930115,-70.28944852,-73.58560585
47,-68.7233849,-72.34812962,-72.77592738,-72.0872397,-71.22157146,-73.65075389,-67.71276191,-70.29774503,-70.77649254,-67.37000033,-66.82148355,-68.19474049,-67.23616253,-69.61635527,-64.94965693,-64.4010642,-69.34926832,-71.69541332,-62.40235748,-72.41625864,-68.98425946,-70.00846698,-70.62842144,-67.01848291,-68.44856457,-64.52642944,-68.39989953,-72.62323909,-71.10156224,-72.66237753,-70.56894303,-71.0359051
48,-67.98041832,-67.98391998,-75.04891905,-65.55350379,-69.63882017,-69.99691355,-74.76566809,-67.26165281,-69.25294841,-70.0442306,-73.13301322,-71.81166859,-64.85736243,-66.76174978,-74.48096625,-66.48173737,-65.56515723,-70.88002514,-65.6434065,-69.81706849,-67.47285557,-69.43240905,-65.61691518,-75.84012604,-67.43331646,-69.59982255,-70.39778267,-70.57590396,-73.78132368,-65.79039484,-67.8852195,-67.51948908
49,-70.19480341,-75.72666596,-67.54422638,-71.06667629,-77.3370921,-70.12209778,-68.26476063,-63.96115521,-71.67158915,-67.08828121,-70.61632291,-66.72752227,-70.58805404,-72.202745,-69.32495965,-72.81059398,-67.32361442,-68.92533814,-71.61754904,-66.84066381,-68.43021789,-69.59549397,-67.50735647,-69.1300127,-70.87624285,-68.78464632,-65.41284378,-70.29293915,-69.28671953,-71.81176949,-68.39258352,-71.82178587
50,-67.87303878,-66.71090386,-67.12057157,-73.90598336,-64.66720561,-69.87461503,-65.18048877,-69.04826799,-70.44683966,-66.08139726,-69.75603061,-74.79498864,-67.50393314,-62.11836929,-68.2849066,-71.15562185,-68.99309894,-71.6311543,-71.35205005,-73.78252802,-69.68220217,-70.70481089,-72.99597578,-72.44990445,-64.52742913,-69.38605436,-70.35698055,-68.48800847,-69.24550107,-68.70681866,-74.98912562,-74.1514397
51,-72.793869,-64.60190927,-70.66686627,-74.23580272,-71.99500863,-72.06991957,-74.0826887,-72.75754898,-73.20127962,-75.48109605,-68.5528022,-68.87252994,-69.35360333,-71.3144467,-61.51714524,-68.78722197,-70.35391578,-74.54063723,-69.08990896,-70.48107277,-68.95757152,-67.8487562,-68.15631854,-69.96610034,-77.61678928,-66.54389871,-70.73305843,-60.63263864,-70.93195323,-70.40523845,-74.85454204,-73.55494866
52,-64.52812553,-71.02349364,-68.17932926,-72.35330053,-68.95029269,-70.30880307,-67.53848224,-68.12252369,-70.09479805,-70.08978071,-70.58727782,-72.89723243,-75.74544523,-74.18672293,-75.52353586,-64.6593893,-66.3134998,-72.16184218,-67.31409029,-70.2522797,-72.22722025,-66.34782251,-69.73109953,-69.18937209,-70.55333476,-67.20315456,-70.83335891,-67.43151324,-70.85863966,-70.81810209,-69.33394276,-73.73729383
53,-71.39333616,-76.13056722,-71.36562671,-65.13139351,-66.64831179,-70.41791735,-69.54797217,-66.56885427,-74.46336225,-73.11207013,-75.03984688,-70.69442435,-69.79782283,-73.77583369,-66.20960985,-71.59472406,-73.6609658,-71.46235431,-72.03588246,-68.62356294,-67.59888254,-68.81188313,-70.44459068,-65.69472325,-76.59365494,-69.20575743,-75.0096153,-71.39639779,-64.32461398,-68.85300889,-65.75399311,-69.03418247
54,-75.62847295,-72.9261597,-66.70902688,-68.50123425,-68.16315075,-73.51467822,-68.62550449,-72.69824728,-66.86367717,-68.63252318,-68.89681554,-69.24253428,-71.5726134,-69.37165123,-69.68605306,-72.36389419,-69.6508815,-69.3363399,-69.93991358,-67.76105123,-67.23780626,-71.09480006,-69.45890722,-68.4338418,-70.65591831,-68.98759352,-70.35695431,-70.59916866,-68.21148036,-77.67899797,-69.18032725,-63.52614275
55,-73.24285066,-68.30720401,-72.15338127,-72.80916915,-70.25161712,-67.38000988,-68.62976214,-68.17242741,-73.56149471,-71.48228564,-65.01804138,-72.31633508,-70.423812,-65.99497445,-68.28975364,-71.97075812,-66.10117329,-72.11452784,-67.31083832,-69.27379454,-68.70186606,-71.73630322,-73.8431432,-69.91595746,-78.28395658,-71.03153167,-68.21636516,-68.27224347,-72.67900007,-69.49211037,-73.44436937,-68.22975104
56,-70.86852701,-68.17941369,-69.12449343,-69.31898664,-67.05302172,-66.80970392,-68.56841699,-72.40155987,-69.88729379,-73.89676585,-68.84885031,-65.8444056,-74.70262473,-73.22025596,-71.90813507,-67.12619559,-68.68834407,-68.93523891,-79.58077427,-77.91215171,-71.73511653,-73.22899853,-71.76108434,-74.55593823,-74.99027765,-71.64087845,-65.54428593,-70.20584342,-73.73331676,-68.7605552,-68.40547197,-73.26965021
57,-72.8228941,-69.50529326,-70.26361408,-76.32609165,-67.32597139,-67.24311068,-69.58041995,-68.23719133,-72.87731937,-72.32965259,-66.90989074,-72.76331856,-72.2653301,-68.47349912,-67.20884773,-66.41711883,-67.5486134,-76.77834615,-72.13378693,-68.33268322,-72.38948791,-70.91962528,-68.480483,-75.36475336,-66.07087041,-69.16343645,-73.68920025,-74.47918958,-70.40206667,-73.35223145,-76.39786546,-68.16082159
58,-71.00212669,-70.0911384,-71.06077853,-70.02676494,-70.96604366,-72.19831941,-70.98031844,-70.91846794,-70.24156963,-70.70223491,-65.94966401,-69.28032143,-67.68503153,-72.99450575,-74.24569053,-69.05797844,-74.50776026,-75.23140518,-66.75990572,-67.41044935,-68.76963227,-68.43194454,-70.55903328,-72.22915657,-67.37756395,-70.72284393,-70.52012746,-71.43565569,-76.3788239,-76.30733709,-73.52517949,-68.56358814
59,-67.52084751,-68.7118304,-69.99791689,-71.4790114,-71.90197293,-66.15013029,-72.94578578,-72.35176113,-74.4514871,-69.62384963,-68.72492391,-68.03979724,-68.28987501,-69.49028826,-68.37259455,-68.94192501,-67.90808654,-70.20655644,-70.18745776,-67.64539089,-68.20611697,-63.14173732,-71.50849774,-73.69649902,-62.30984312,-69.07340109,-76.5775892,-73.08606751,-69.55685861,-72.23432936,-63.13890052,-67.44696482
60,-74.96499872,-73.00174567,-65.25646655,-71.33126463,-72.91326655,-75.71024021,-74.09666634,-69.56386049,-69.70810623,-69.98711179,-67.42864338,-73.62143391,-67.39317815,-73.11038185,-71.62837115,-67.20656583,-70.75086241,-66.64684452,-66.09132676,-71.33268717,-63.94668899,-66.82709595,-74.12229085,-71.23897029,-71.72817432,-70.19423135,-74.21021803,-76.80112681,-67.99050564,-73.90453048,-68.88622876,-68.8608089
