Product Product Name,Substance Cas Number,Substance Substance Name,Product Total Number of Requests
Benzyl alcohol,100-51-6,Benzyl Alcohol,31
Acetic Acid,64-19-7,Acetic Acid,31
Styrene Monomer,100-42-5,Styrene,31
Caffeine,58-08-2,Caffeine,31
Urea Solution 40%,57-13-6,Urea,31
Glycerin,56-81-5,Glycerol,31
Ethylene Vinyl Acetate (EVA),24937-78-8,Ethylene Vinyl Acetate (EVA),30
Ethylacetat,141-78-6,Ethyl Acetate,30
"Glycerol, USP",56-81-5,Glycerol,30
Polydimethylsiloxane,63148-62-9,Dimethyl Siloxane,30
METYLENE CHLORIDE,75-09-2,Methylene Chloride,30
"Sodium hydroxide, Caustic Soda - liquid 30 %",1310-73-2,Sodium Hydroxide,29
Phthalic anhydride,85-44-9,Phthalic Anhydride,29
Dichloromethane/ Methylene chloride,75-09-2,Methylene Chloride,29
Xylene mixed,1330-20-7,Xylene,29
"Isopropyl Alcohol (IPA, technisch)",67-63-0,Isopropanol,29
BUTYLGLYCOL,111-76-2,2-Butoxyethanol,29
Sulfur - granules,7704-34-9,Sulfur,29
E171 - Titanium Dioxide - Pigment White 6 [C.I.77891],13463-67-7,Titanium Dioxide,29
Ammonium sulfate As 21 fertilizer,7783-20-2,Ammonium Sulphate,29
2-Ethylhexanol,104-76-7,2-Ethylhexanol,29
Hexane,110-54-3,Hexane,29
Glycérine Végétale 99.5% glycérol - CAS N° 56-81-5,56-81-5,Glycerol,29
DMSO DIMETHYL SULFOXYDE - CAS N° 67-68-5,67-68-5,Dimethyl Sulfoxide,28
Xanthan,11138-66-2,Xanthan Gum,28
CITRIC ACID MONOHYDRATE,77-92-9,Citric Acid,28
Melamine,108-78-1,Melamine,28
"Sorbitol, Sorbit powder E420 (i)",50-70-4,Sorbitol,28
Citric Acid-1-hydrate E330 (Food Grade),5949-29-1,Citric Acid Monohydrate,28
Alcohol Gel Hand Sanitiser,67-63-0,Isopropanol,28
Sodium Laureth Sulfate (SLES) 70%,68891-38-3,"Alcohols, C12-14, ethoxylated, Sulfates, Sodium Salts",28
Potassium Chloride,7447-40-7,Potassium Chloride,27
Sunflower Oil High Oleic,84540-16-9,Sunflower Oil High Oleic,27
Sodium carbonate anhydrous (Soda heavy),497-19-8,Sodium Carbonate,27
Heptane,142-82-5,n-Heptane,27
Cyclohexan,110-82-7,Cyclohexane,27
D-Limonene,5989-27-5,D-Limonene,27
Sulfamic acid,5329-14-6,Sulphamidic Acid,27
Acide Phosphorique 75%,13598-36-2,Phosphonic Acid,27
Isopropanol IPA,67-63-0,Isopropanol,27
BORIC ACID,10043-35-3,Boric Acid,27
Glycerine,56-81-5,Glycerol,27
Butyl Di Glycol Acetate (BDGA),124-17-4,Butyl Diglycol Acetate,27
Diethylene Glycol (DEG),111-46-6,Diethylene Glycol,27
Barium Sulfate,7727-43-7,Barium Sulfate,26
UREA - Harnstoff,57-13-6,Urea,26
D60,64742-48-9,"Naphtha (petroleum), hydrotreated heavy",26
D40,64742-47-8,"Distillates (Petroleum), hydrotreated light",26
Methyl ethyl ketone,78-93-3,Methyl Ethyl Ketone,26
Sulfuric Acid  96%,7664-93-9,Sulfuric Acid,26
Orthophosphoric acid 75 %,7664-38-2,Phosphoric Acid,26
Guar Gum,9000-30-0,Guar Gum,26
Methacrylic Acid (MAA),79-41-4,Methacrylic Acid,26
SLES 70,9004-82-4,2-Dodecoxyethyl Hydrogen Sulfate,26
METHANOL,67-56-1,Methanol,26
XYLENE,1330-20-7,Xylene,26
Ammonium nitrate 34% fertilizer,13446-48-5,Ammonium Nitrite,26
Hydrogen Peroxide 35%,7722-84-1,Hydrogen Peroxide,25
Acetic Acid 80%,64-19-7,Acetic Acid,25
Sulphamic Acid,5329-14-6,Sulphamidic Acid,25
Carrageenan,9000-07-1,Carrageenan,25
Dipropylene Glycol (DPG),25265-71-8,Dipropylene Glycol,25
Pentaerythritol,115-77-5,Pentaerythritol,25
Butyl Acrylate (BA),141-32-2,Butyl Acrylate,25
POTASSIUM CARBONATE,584-08-7,Potassium Carbonate,25
ACRYSOL TT-615,70879-60-6,2-Methyl-2-acrylic Acid Ethyl Acrylate and Polyethyleneglycol Monomethylacrylate-C16-18-alkyl Ether Polymer,25
ETAC - Ethyl Acetate,141-78-6,Ethyl Acetate,25
Lemon acid food grade E330,5949-29-1,Citric Acid Monohydrate,25
Methoxy Propanol (PM),107-98-2,1-Methoxy-2-Propanol,25
Methacrylic Acid,79-41-4,Methacrylic Acid,25
Acetic acid 80 %,64-19-7,Acetic Acid,25
GLYCERINE Technical 99.5%,56-81-5,Glycerol,25
Butyl Diglycol (BDG),112-34-5,2-(2-Butoxyethoxy)ethanol,25
Phosphoric Acid 85%,7664-38-2,Phosphoric Acid,25
CITRIC ACID ANHYDRATE,77-92-9,Citric Acid,25
Zinc Oxide,1314-13-2,Zinc Oxide,24
Ammonium Sulfate,7783-20-2,Ammonium Sulphate,24
Butyl Acrylate,141-32-2,Butyl Acrylate,24
PEG 4000,25322-68-3,Polyethylene Glycol (PEG),24
Hydrochloric acid food grade 33%,7647-01-0,Hydrogen Chloride,24
Isopropyl alcohol,67-63-0,Isopropanol,24
Boric Acid  (granules),10043-35-3,Boric Acid,24
SODIUM HYDROXIDE FLAKES,1310-73-2,Sodium Hydroxide,24
Triethanolamine,102-71-6,Triethanolamine,24
Butyl glycol,111-76-2,2-Butoxyethanol,24
Butyldiglykol / BDG,112-34-5,2-(2-Butoxyethoxy)ethanol,24
Acetic acid 99 %,64-19-7,Acetic Acid,24
Butyldiglykol,112-34-5,2-(2-Butoxyethoxy)ethanol,24
ETHYL ACETATE,141-78-6,Ethyl Acetate,24
AMMONIUM CHLORIDE,12125-02-9,Ammonium Chloride,24
Perchlorethylen,127-18-4,Tetrachloroethylene,23
Sodium Gluconate,527-07-1,Sodium Gluconate,23
Hydrogen Peroxide (%50),7722-84-1,Hydrogen Peroxide,23
"Sodium bicarbonate (Baking soda) food grade, without anti-caking agent E 500 (ii)",144-55-8,Sodium Bicarbonate,23
Benzoic Acid,65-85-0,Benzoic Acid,23
Iso-Propyl-Alkohol (IPA),67-63-0,Isopropanol,23
Sorbitol,50-70-4,Sorbitol,23
Mercest IPM,110-27-0,Isopropyl Myristate,23
Morpholine,110-91-8,Morpholine,23
Diethylene Glycol,111-46-6,Diethylene Glycol,23
Styrene Monomer (SM),100-42-5,Styrene,23
Sodium Hypochlorite,7681-52-9,Sodium Hypochlorite,22
Zinc sulphide,1314-98-3,Zinc Sulphide,22
Lithium carbonate,554-13-2,Lithium Carbonate,22
CURSOL,7664-93-9,Sulfuric Acid,22
Ethylacetate (ETAC),141-78-6,Ethyl Acetate,22
Styrol Monomer,100-42-5,Styrene,22
Isobutanol,78-83-1,Isobutanol,22
Boric acid - technical quality,10043-35-3,Boric Acid,22
Formic Acid 85% (1a236) (Feed Grade),64-18-6,Formic Acid,22
Perchloroethylene (Tetrachloroethylene / PER),127-18-4,Tetrachloroethylene,22
Solvent DPM  (Dipropyleneglycolmethylether),34590-94-8,Methoxypropoxypropanol,22
Titanium dioxide R 9501,13463-67-7,Titanium Dioxide,22
SODIUM NITRITE,7632-00-0,Sodium Nitrite,22
Rapeseed Oil,8002-13-9,Rapeseed Oil,22
Dimethyl Sulfoxide,67-68-5,Dimethyl Sulfoxide,22
Phosphoric acid 85%,7664-38-2,Phosphoric Acid,22
DPM - Dipropylenglycolmethylether,34590-94-8,Methoxypropoxypropanol,22
MEDICINAL LIGHT VASELINE OIL,8012-95-1,Paraffin Oil,22
Titanium dioxide,13463-67-7,Titanium Dioxide,22
Methyl Methacrylate,80-62-6,Methyl Methacrylate,22
Ammonium chloride,12125-02-9,Ammonium Chloride,21
"Monoethanolamine (99%, LFG Typen)",141-43-5,Ethanolamine,21
"Potassium nitrate fertilizer, potassium nitrate",7757-79-1,Potassium Nitrate,21
Caustic Soda,1310-73-2,Sodium Hydroxide,21
Potassium hydroxide,1310-58-3,Potassium Hydroxide,21
DINP Diisononylphthalat,28553-12-0,Diisononyl Phthalate,21
NPK Fertilizers,66455-26-3,Nitrogen-phosphorus-potassium Fertilizer,21
Dimethyl Formamide (DMF),68-12-2,"N,N-Dimethylformamide",21
Acrylic Acid (AA),79-10-7,Acrylic Acid,21
Di Propylene Glycol (DPG),25265-71-8,Dipropylene Glycol,21
Glycolic acid,79-14-1,Glycolic Acid,21
"Ethanol, 99.9%, ACS/HPLC Certified",64-17-5,Ethanol,21
n-Butyl Acetate,123-86-4,n-Butyl Acetate,21
"Citric Acid Monohydrat, E330, BP, USP or FCC",5949-29-1,Citric Acid Monohydrate,21
Acetone pure,67-64-1,Acetone,21
"Soybean Oil ,refined GMO",8001-22-7,Soybean Oil,21
"Acetic Acid, 80%",64-19-7,Acetic Acid,21
Vanillin,121-33-5,Vanillin,21
DICHLOROMETHANE ACS,75-09-2,Methylene Chloride,21
Butyl Diglycol Acetate,124-17-4,Butyl Diglycol Acetate,21
Methanol HP,67-56-1,Methanol,21
MONOETHANOLAMINE,141-43-5,Ethanolamine,20
MONOETHYLENE GLYCOL,107-21-1,"Ethane-1,2-diol",20
Methyl Propanol Acetate (PMA),108-65-6,1-Methoxy-2-propylacetate,20
Hexan,110-54-3,Hexane,20
D80,64742-47-8,"Distillates (Petroleum), hydrotreated light",20
ORP THERMOBOND 45,24937-78-8,Ethylene Vinyl Acetate (EVA),20
Potassium Nitrate,7757-79-1,Potassium Nitrate,20
SODIUM CARBONATE,497-19-8,Sodium Carbonate,20
Lactic acid E270 - food grade,79-33-4,Lactic Acid,20
n-Propanol,71-23-8,n-Propanol,20
Isopropyl Myristate,110-27-0,Isopropyl Myristate,20
SODIUM HYDROXIDE,1310-73-2,Sodium Hydroxide,20
Polyvinyl Alcohol (PVA) 17-88,9002-89-5,Polyvinyl Alcohol,20
Harnstoff,57-13-6,Urea,20
METHYL ALCOHOL,67-56-1,Methanol,20
Citric Acid Monohydrate N1560 (Zitronensäure Monohydrat N1560) CAS no. 5949-29-1,5949-29-1,Citric Acid Monohydrate,20
Erythritol,149-32-6,Erythritol,20
Soda Ash Light,497-19-8,Sodium Carbonate,20
Acetonitrile,75-05-8,Acetonitrile,20
Mono Propylène Glycol MPG - CAS N° 57-55-6,57-55-6,Propylene Glycol,20
MONO PROPYLENE GLYCOL (PGUSP),57-55-6,Propylene Glycol,20
TMPTA TRIMETHYLOLPROPANE TRIACRYLATE,15625-89-5,Trimethylol Propane Triacrylate,20
"Glycerin 99,5 % pharm.",56-81-5,Glycerol,20
Sodium metabisulphite - food quality,7681-57-4,Sodium Metabisulfite,20
Diethylentriamin / DETA,111-40-0,"2,2'-Iminodi(ethylamine)",20
Caustic soda Sodium hydroxide Pure for analysis,1310-73-2,Sodium Hydroxide,20
Trimethylolpropane triacrylate (TMPTA),15625-89-5,Trimethylol Propane Triacrylate,20
Sodium hydroxide solution 50% (EN 896),1310-73-2,Sodium Hydroxide,19
Mono Ethanol Amine (MEA),141-43-5,Ethanolamine,19
Perchloroethylene(PCE),127-18-4,Tetrachloroethylene,19
Propylene glycol 94% (concentrate),57-55-6,Propylene Glycol,19
Caustic Soda Sodium hydroxide - granules,1310-73-2,Sodium Hydroxide,19
PEG 6000,25322-68-3,Polyethylene Glycol (PEG),19
Sodium Hydrosulfite,7775-14-6,Sodium Dithionite,19
Benzoic acid,65-85-0,Benzoic Acid,19
"Propylene Glycol USP (1,2-Propylenglykol USP) CAS no. 57-55-6",57-55-6,Propylene Glycol,19
Calcium chloride - technical quality,10035-04-8,Calcium Chloride Dihydrate,19
Calcium chloride anhydrous food grade E509,10035-04-8,Calcium Chloride Dihydrate,19
TRIACETINE,102-76-1,Triacetin,19
Glycolic acid 70% (industrial grade),79-14-1,Glycolic Acid,19
Citric Acid Monohydrate Chin. (Zitronensäure Monohydrat chin.) CAS no. 5949-29-1,5949-29-1,Citric Acid Monohydrate,19
Stearic acid,57-11-4,Stearic Acid,19
Ethanol 96%,64-17-5,Ethanol,19
Butyl-Di-Glykol (BDG),112-34-5,2-(2-Butoxyethoxy)ethanol,19
Monopropylene Glycol (MPG),57-55-6,Propylene Glycol,19
Mono Propylene Glycol USP (MPG),57-55-6,Propylene Glycol,19
SILICONE OIL,63148-62-9,Dimethyl Siloxane,19
Anhydrous citric acid E330 - food grade,77-92-9,Citric Acid,19
Glycerine 99.7%,56-81-5,Glycerol,19
Mono-Ethylenglykol (MEG),107-21-1,"Ethane-1,2-diol",19
Isopropyl myristate,110-27-0,Isopropyl Myristate,19
Butyldiglycol (BDG),112-34-5,2-(2-Butoxyethoxy)ethanol,19
Sodium Nitrate,7631-99-4,Sodium Nitrate,19
Butylacetat,123-86-4,n-Butyl Acetate,18
"Caustic Soda, Flakes",1310-73-2,Sodium Hydroxide,18
Propylene carbonate,108-32-7,Propylene Carbonate,18
Xylitol,87-99-0,Xylitol,18
Potassium hydroxide solution 50%,1310-58-3,Potassium Hydroxide,18
Hydrochloric acid,7647-01-0,Hydrogen Chloride,18
DBE – Dibasic Ester,95481-62-2,Dibasic Esters,18
Methyl ethyl ketone (MEK),78-93-3,Methyl Ethyl Ketone,18
"Sulphur, powder, sublimed",7704-34-9,Sulfur,18
Metylene Chloride,75-09-2,Methylene Chloride,18
N-Methylpyrrolidone (NMP),872-50-4,N-Methyl Pyrrolidone,18
POTASSIUM NITRATE,7757-79-1,Potassium Nitrate,18
Titandioxid (KIMIX R93),13463-67-7,Titanium Dioxide,18
Dipropylene Glycol n-Butyl Ether DPnB,29911-28-2,Dipropylene Glycol mono-Butyl Ether,18
AdBlue,57-13-6,Urea,18
Acide Formique 80% - CAS N° 64-18-6,64-18-6,Formic Acid,18
Calcium Formate,544-17-2,Calcium Diformate,18
Trichloroethylene,79-01-6,Trichloroethylene,18
Butylglykol / BG,111-76-2,2-Butoxyethanol,18
BUTYL GLYCOL Ethylene glycol monobutyl ether,111-76-2,2-Butoxyethanol,18
Dicyclopentadiene (DCPD),77-73-6,Dicyclopentadiene (DCPD),18
Ascorbic acid E300 - Vitamin C,50-81-7,Ascorbic Acid,18
Natriumhydroxid,1310-73-2,Sodium Hydroxide,18
Iron Sulfate heptahydrate,7782-63-0,Iron Sulphate,18
Butyl Glycol,111-76-2,2-Butoxyethanol,18
Diisononyl Phthalate (DINP),28553-12-0,Diisononyl Phthalate,18
SBP 80/110,64742-49-0,Petroleum Benzine,18
"1,4-Butanediol (BDO)",110-63-4,"1,4-Butanediol",18
"1,4 Butanediol",110-63-4,"1,4-Butanediol",18
Potassium carbonate (potash) - anhydrous,584-08-7,Potassium Carbonate,18
MONOPROPYLENE GLYCOL,57-55-6,Propylene Glycol,18
Sodium Metasilicate Pentahydrate,10213-79-3,Disodium Oxosilanediolate Pentahydrate,18
DPM Solvant dipropylene glycol monomethyl ether - CAS N° 34590-94-8,34590-94-8,Methoxypropoxypropanol,18
AMMONIUM NITRATE,6484-52-2,Ammomium Nitrate,18
FORMIC ACID 85%,64-18-6,Formic Acid,17
"MMA, Methyl Methacrylate",80-62-6,Methyl Methacrylate,17
Potassium sorbate E202,24634-61-5,Potassium Sorbate,17
THF,109-99-9,Tetrahydrofuran,17
"Pentaerythritol 95,98",115-77-5,Pentaerythritol,17
DIAMMONIUM PHOSPHATE,7783-28-0,Diammonium Hydrogenorthophosphate,17
Perchloroethylene/PCE,127-18-4,Tetrachloroethylene,17
Urea Techn. pure A,57-13-6,Urea,17
Lecithin liquid from Soy bean,8002-43-5,Lecithins,17
Versenic Acid 40% (aqueous solution) EDTA 4Na,64-02-8,EDTA Tetrasodium Salt,17
Hexamethylenetetramine,100-97-0,Methenamine,17
Methyl Ethyle Ketone // Methyl Ethyle Keton // MEK // Butanone,78-93-3,Methyl Ethyl Ketone,17
Ferric Chloride 40%,7705-08-0,Iron Trichloride,17
Potassium Hydroxide 90% Flakes,1310-58-3,Potassium Hydroxide,17
Benzophenone,119-61-9,Benzophenone,17
Guar gum E412,9000-30-0,Guar Gum,17
CALCIUM CHLORIDE DIHYDRATE,10035-04-8,Calcium Chloride Dihydrate,17
Ethoxy Propanol (EP),1569-02-4,1-Ethoxy-2-propanol,17
Polyvinyl Alcohol,9002-89-5,Polyvinyl Alcohol,17
"Sodium bicarbonate (baking soda), edible, with anti-caking agent E 500 (ii)",144-55-8,Sodium Bicarbonate,17
Glykolsäure,79-14-1,Glycolic Acid,17
Poly Ethylene Glycol 400 (PEG400),25322-68-3,Polyethylene Glycol (PEG),17
Ethanol 99%,64-17-5,Ethanol,17
n-Butanol,71-36-3,n-Butanol,17
N-Butanol,71-36-3,n-Butanol,17
Isophorondiamin,2855-13-2,"3-Aminomethyl-3,5,5-trimethylcyclohexylamine",17
Isophorondiamin / IPDA,2855-13-2,"3-Aminomethyl-3,5,5-trimethylcyclohexylamine",17
HDDA Hexamethylene Diacrylate,13048-33-4,Hexamethylene Diacrylate,17
TITANIUM DIOXIDE RUTILE R-730,13463-67-7,Titanium Dioxide,17
"1,4-Butanediol",110-63-4,"1,4-Butanediol",17
Photoinitiator TPO,75980-60-8,"Diphenyl(2,4,6-trimethylbenzoyl)phosphine Oxide",17
DPGDA DIPROPYLENE GLYCOL DIACRYLATE,57472-68-1,"Oxybis(methyl-2,1-ethanediyl) Diacrylate",17
DPM- Di Methyl Propanol,34590-94-8,Methoxypropoxypropanol,17
Monopropylene Glycol,57-55-6,Propylene Glycol,17
Diethylentriamin (DETA),111-40-0,"2,2'-Iminodi(ethylamine)",17
MALEIC ANHYDRATE,108-31-6,Maleic Anhydride,17
Mono Ethanolamine (MEA),141-43-5,Ethanolamine,16
Monoethanolamine min. 99%,141-43-5,Ethanolamine,16
"Caustic Soda, Pearl",1310-73-2,Sodium Hydroxide,16
Titandioxide,13463-67-7,Titanium Dioxide,16
HYDROGEN PEROXIDE,7722-84-1,Hydrogen Peroxide,16
Tetramethylguanidine,80-70-6,"1,1,3,3-Tetramethylguanidine",16
Dibasic Ester (DBE),95481-62-2,Dibasic Esters,16
Xylol,1330-20-7,Xylene,16
L(+)-Lactic Acid  80% E270 (Food Grade),79-33-4,Lactic Acid,16
Monoethylene glycol (MEG),107-21-1,"Ethane-1,2-diol",16
PENTAERYTHRITOL,115-77-5,Pentaerythritol,16
2-Phenoxyethanol,122-99-6,Phenoxyethanol,16
White Spirits,8052-41-3,Stoddard Solvent,16
Thiourea,62-56-6,Thiourea,16
Potassium Hydroxide (KOH),1310-58-3,Potassium Hydroxide,16
Dipropyleneglycol (DPG),25265-71-8,Dipropylene Glycol,16
Bisphenol A,80-05-7,Bisphenol A,16
Potassium hydroxide flakes,1310-58-3,Potassium Hydroxide,16
HL-200,7631-86-9,Silicon Dioxide,16
Methyl Isobutyl Ketone (MIBK),108-10-1,Methyl Isobutyl Ketone,16
Urea (feed grade),57-13-6,Urea,16
"Linseed Oil, refined",8001-26-1,Linseed Oil,16
Ethyl Alcohol,64-17-5,Ethanol,16
Trisodium citrate E331 - Food grade,6132-04-3,Trisodium Citrate Dihydrate,16
Benzalkonium Chloride,8001-54-5,Benzalkonium Chloride,16
Glyoxal,107-22-2,Glyoxal,16
COALESOL,25265-77-4,"Isobutyric Acid, Monoester with 2,2,4-Trimethylpentane-1,3-diol",16
Calcium Chloride,10035-04-8,Calcium Chloride Dihydrate,16
Butylglycol (BG),111-76-2,2-Butoxyethanol,16
Citric acid anhydrous,77-92-9,Citric Acid,16
"Monopropylene Glycol (technisch, USP)",57-55-6,Propylene Glycol,16
