id,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Seat comfort,Inflight entertainment,Baggage handling,Inflight service,Cleanliness
74703,4,2,4,3,4,4,4,2
53605,3,3,4,3,4,4,1,4
1262,3,3,5,3,4,4,4,4
39177,3,3,5,3,5,1,2,5
1256,4,3,5,3,5,5,5,5
115566,1,4,5,3,2,2,2,1
67551,5,1,1,4,3,5,3,5
115550,5,5,1,4,2,2,2,4
119896,1,1,2,4,4,4,4,4
52496,1,1,2,4,4,5,4,5
120433,3,2,2,4,4,4,4,4
15963,5,2,2,4,5,5,5,3
88853,4,3,2,4,2,2,2,4
117993,4,3,2,4,5,5,5,3
70990,4,4,2,4,2,4,5,2
102623,1,5,2,4,5,5,5,5
62010,5,5,2,4,2,2,2,5
77959,1,1,3,4,1,1,1,4
84204,1,1,3,4,5,5,5,5
120440,4,1,3,4,3,5,5,3
80531,1,2,3,4,2,2,2,5
125877,2,2,3,4,4,4,4,3
62482,2,2,3,4,4,4,4,4
96283,5,2,3,4,5,4,5,2
68263,5,2,3,4,5,5,5,1
70521,2,3,3,4,5,5,5,3
113346,3,3,3,4,4,4,4,3
70467,3,3,3,4,5,5,5,4
127062,4,4,3,4,3,3,3,3
34501,1,1,4,4,4,1,5,4
64241,1,1,4,4,4,2,3,4
26594,1,1,4,4,4,3,5,4
49480,1,1,4,4,4,4,4,1
106558,1,1,4,4,4,5,4,4
88134,2,1,4,4,5,5,5,3
68873,2,2,4,4,4,2,2,4
3796,2,2,4,4,4,3,3,4
61426,2,2,4,4,4,3,5,4
91231,2,2,4,4,4,4,4,4
88653,2,3,4,4,5,5,5,3
12452,3,3,4,4,4,2,3,4
20219,3,3,4,4,4,3,4,4
6147,3,3,4,4,4,4,4,5
59851,3,3,4,4,4,4,4,5
87447,3,3,4,4,4,5,5,4
110928,3,3,4,4,5,5,5,2
75522,1,4,4,4,4,4,5,4
106181,2,4,4,4,4,2,3,4
91108,4,4,4,4,1,1,1,5
44304,4,4,4,4,4,3,5,4
123064,4,4,4,4,4,4,4,5
64475,5,4,4,4,4,5,4,4
8851,5,4,4,4,4,5,5,4
127798,2,5,4,4,3,3,3,1
17836,4,5,4,4,4,5,5,4
64287,5,5,4,4,4,4,4,5
88237,5,5,4,4,4,4,4,5
5528,1,1,5,4,4,4,4,4
2274,2,2,5,4,4,4,4,5
107792,2,2,5,4,4,4,4,5
42141,1,4,5,4,5,5,5,5
87976,5,5,5,4,5,5,5,3
58576,2,3,1,5,3,3,3,4
75235,4,1,2,5,5,5,5,3
31640,2,2,2,5,4,4,4,5
51477,3,3,2,5,4,4,4,5
43742,4,3,2,5,3,3,3,5
11224,5,3,2,5,2,1,1,2
78136,5,3,2,5,2,2,2,5
61571,3,4,2,5,5,5,5,3
63995,4,4,2,5,5,5,5,5
121232,5,5,2,5,5,5,5,3
31244,1,1,3,5,5,5,5,5
79908,2,2,3,5,3,3,3,3
110840,5,2,3,5,1,1,1,3
88893,3,3,3,5,4,4,4,3
41461,4,3,3,5,1,1,1,4
44293,4,4,3,5,4,4,4,5
74090,5,5,3,5,4,4,4,5
79433,5,5,3,5,5,5,5,3
46063,5,1,4,5,4,4,4,4
97286,2,2,4,5,4,4,4,3
53888,4,2,4,5,2,2,2,5
3608,4,2,4,5,5,5,5,4
128145,5,2,4,5,5,5,5,3
122093,1,3,4,5,4,4,3,4
76872,4,3,4,5,5,5,5,3
119987,5,5,4,5,5,5,5,3
47583,1,1,5,5,3,3,3,4
14965,1,1,5,5,5,2,1,5
101991,4,1,5,5,5,5,4,5
58584,1,2,5,5,5,3,4,5
27508,2,2,5,5,5,5,3,5
70811,3,2,5,5,5,3,4,5
76645,4,2,5,5,5,5,4,5
73813,4,2,5,5,5,5,5,5
24895,5,2,5,5,5,4,5,5
90035,1,3,5,5,4,4,4,5
48994,3,3,5,5,2,2,2,2
738,3,3,5,5,4,4,4,5
45542,3,3,5,5,5,1,1,5
10980,3,3,5,5,5,4,2,5
16145,3,3,5,5,5,5,5,2
64303,3,3,5,5,5,5,5,5
25137,4,3,5,5,5,3,4,5
109359,5,3,5,5,2,2,2,3
95868,5,3,5,5,3,3,3,5
20461,5,3,5,5,5,3,4,5
56694,5,3,5,5,5,5,5,4
121658,5,3,5,5,5,5,5,5
122719,3,4,5,5,5,4,5,5
41134,4,4,5,5,5,3,3,5
94999,4,4,5,5,5,4,4,5
75241,5,4,5,5,5,4,4,5
127954,5,4,5,5,5,4,4,5
72478,5,4,5,5,5,5,5,3
