id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance
14965,Male,Loyal Customer,27,Business travel,Business,3200
36897,Male,Loyal Customer,40,Personal Travel,Eco,1368
127954,Male,Loyal Customer,31,Business travel,Business,1999
27872,Male,Loyal Customer,25,Business travel,Eco Plus,680
35854,Male,Loyal Customer,42,Business travel,Business,537
14527,Female,Loyal Customer,45,Business travel,Eco,288
47021,Male,Loyal Customer,59,Personal Travel,Business,639
11224,Male,Loyal Customer,34,Personal Travel,Eco,201
3921,Female,Loyal Customer,22,Personal Travel,Eco,213
69463,Male,Loyal Customer,21,Personal Travel,Eco,1096
47050,Male,Loyal Customer,26,Business travel,Business,1680
21970,Male,Loyal Customer,37,Business travel,Business,2401
30046,Male,Loyal Customer,38,Business travel,Business,2746
1256,Female,Loyal Customer,17,Personal Travel,Eco,89
73813,Male,Loyal Customer,15,Personal Travel,Eco Plus,192
110928,Female,Loyal Customer,53,Personal Travel,Eco,404
102981,Male,disloyal Customer,39,Business travel,Business,546
61571,Male,Loyal Customer,40,Business travel,Business,2400
3796,Female,disloyal Customer,28,Business travel,Eco Plus,599
73906,Female,disloyal Customer,27,Business travel,Business,2342
74090,Female,Loyal Customer,41,Business travel,Business,3046
76645,Female,Loyal Customer,7,Personal Travel,Eco,516
100462,Male,disloyal Customer,48,Business travel,Business,759
54164,Male,Loyal Customer,13,Business travel,Eco,1400
6147,Female,Loyal Customer,48,Business travel,Business,491
1262,Female,Loyal Customer,49,Personal Travel,Eco,134
20310,Male,disloyal Customer,26,Business travel,Business,900
46896,Male,Loyal Customer,22,Business travel,Business,3648
7237,Female,Loyal Customer,53,Business travel,Business,3769
44293,Female,Loyal Customer,43,Business travel,Eco,563
52496,Male,Loyal Customer,56,Business travel,Business,3131
68263,Female,Loyal Customer,69,Personal Travel,Eco,631
5289,Male,Loyal Customer,59,Personal Travel,Eco,351
109359,Female,Loyal Customer,56,Business travel,Business,1189
94988,Male,Loyal Customer,11,Personal Travel,Eco,562
53605,Female,Loyal Customer,25,Business travel,Eco,1874
11005,Female,disloyal Customer,29,Business travel,Eco,158
14794,Female,Loyal Customer,48,Business travel,Eco,95
49480,Female,Loyal Customer,42,Business travel,Business,266
120440,Male,disloyal Customer,15,Business travel,Eco,449
55823,Female,disloyal Customer,49,Business travel,Business,1416
107792,Male,Loyal Customer,41,Business travel,Business,2388
80531,Male,Loyal Customer,43,Business travel,Business,1678
128145,Male,Loyal Customer,60,Business travel,Business,1972
63370,Female,Loyal Customer,42,Personal Travel,Eco,337
12452,Female,Loyal Customer,8,Personal Travel,Eco,253
16145,Female,Loyal Customer,42,Business travel,Eco,212
44418,Male,disloyal Customer,18,Business travel,Eco Plus,342
95746,Male,Loyal Customer,47,Business travel,Business,3556
41134,Female,disloyal Customer,27,Business travel,Eco,191
3214,Female,Loyal Customer,67,Personal Travel,Eco Plus,693
74101,Male,disloyal Customer,38,Business travel,Business,641
106220,Female,disloyal Customer,20,Business travel,Eco,471
88134,Female,Loyal Customer,60,Business travel,Business,3823
64475,Male,disloyal Customer,23,Business travel,Business,282
123812,Male,disloyal Customer,25,Business travel,Business,544
88893,Female,Loyal Customer,38,Business travel,Business,2955
31244,Female,Loyal Customer,40,Business travel,Business,2806
97762,Male,Loyal Customer,19,Personal Travel,Eco,587
59851,Female,Loyal Customer,61,Business travel,Business,2073
25137,Male,Loyal Customer,44,Personal Travel,Eco,1249
18412,Female,Loyal Customer,22,Personal Travel,Eco,284
87192,Female,disloyal Customer,8,Business travel,Eco,946
127062,Female,Loyal Customer,45,Business travel,Business,3947
112169,Male,Loyal Customer,46,Personal Travel,Eco,895
127798,Female,Loyal Customer,54,Business travel,Business,1634
91778,Male,Loyal Customer,62,Personal Travel,Eco,588
42609,Female,Loyal Customer,25,Business travel,Business,2533
67482,Female,Loyal Customer,32,Personal Travel,Eco,641
91108,Female,Loyal Customer,65,Personal Travel,Eco,581
102318,Male,disloyal Customer,40,Business travel,Business,223
51281,Female,Loyal Customer,30,Business travel,Eco Plus,326
6528,Female,Loyal Customer,67,Personal Travel,Eco,599
121232,Male,Loyal Customer,51,Business travel,Business,2075
72478,Female,Loyal Customer,47,Business travel,Business,964
122788,Female,Loyal Customer,38,Business travel,Eco,599
5528,Male,Loyal Customer,54,Business travel,Business,3138
107726,Female,Loyal Customer,57,Personal Travel,Eco,251
72606,Male,Loyal Customer,13,Personal Travel,Eco,1119
75522,Female,disloyal Customer,20,Business travel,Eco,337
125687,Female,Loyal Customer,45,Business travel,Business,759
79908,Female,Loyal Customer,51,Business travel,Business,2344
