,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,client_major_version,client_minor_version,server_major_version,server_minor_version,authentication_method,trans_depth,method,host,uri,version,user_agent,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,referrer,resp_mime_types,origin,orig_fuids,orig_mime_types,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,trans_id,query,qclass,qclass_name,qtype,qtype_name,AA,TC,RD,RA,Z,rejected,rcode,rcode_name,answers,TTLs,proxied,username,orig_filenames,cookie,result,security_protocol,cert_count,auth_attempts,server,client,cipher_alg,mac_alg,compression_alg,kex_alg,host_key_alg,host_key,auth_success,path,share_type,analyzer,failure_reason,hostname,domainname,server_nb_computer_name,server_dns_computer_name,success,cipher,server_name,resumed,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,rtt,named_pipe,endpoint,operation,mode,stratum,poll,precision,root_delay,root_disp,ref_id,ref_time,org_time,rec_time,xmt_time,num_exts,name,notice,peer,source,request_type,till,forwardable,renewable,command,value,addl,user,nick,fuid,tx_hosts,rx_hosts,conn_uids,depth,analyzers,mime_type,is_orig,seen_bytes,total_bytes,missing_bytes,overflow_bytes,timedout,filename
10,1620640404.264494,CBl2hs4K8zaHiS7dZh,10.11.1.2,49570.0,10.11.1.3,80.0,,,,,,1.0,GET,10.11.1.3,/drupal,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,307.0,301.0,Moved Permanently,[],['FOqzM64W1DsTjI3KHf'],,['text/html'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1620640404.358196,CBl2hs4K8zaHiS7dZh,10.11.1.2,49570.0,10.11.1.3,80.0,,,,,,2.0,GET,10.11.1.3,/drupal/,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,8219.0,200.0,OK,[],['FdXmi04Uqy3NYbNnKf'],,['text/html'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1620640422.92287,CBl2hs4K8zaHiS7dZh,10.11.1.2,49570.0,10.11.1.3,80.0,,,,,,3.0,GET,10.11.1.3,/drupal/sites/default/files/css/css_BL1gK8855u6EJ8rkClDv3vZRSs_2AS5JbGbcVSHuj2I.css?0,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,9128.0,200.0,OK,[],['FX0ctB4sSsWwrM7jlc'],http://10.11.1.3/drupal/,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1620640423.016568,CSPjYy115aINNJW364,10.11.1.2,49588.0,10.11.1.3,80.0,,,,,,1.0,GET,10.11.1.3,/drupal/sites/default/files/css/css_Z5jMg7P_bjcW9iUzujI7oaechMyxQTUqZhHJ_aYSq04.css?0,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,509.0,200.0,OK,[],['FNw8Vt3fTcD7voBXx8'],http://10.11.1.3/drupal/,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1620640423.016536,COSPXQ3S3eoCTJOda3,10.11.1.2,49587.0,10.11.1.3,80.0,,,,,,1.0,GET,10.11.1.3,/drupal/sites/default/files/css/css_2kXRTLnwwl-8oI9Jo8iFQ4gTuY_qcD0nTw3owQOvnoA.css?0,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,53614.0,200.0,OK,[],['FEBsm83aUOhIgJnO5'],http://10.11.1.3/drupal/,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1620640423.156526,CSPjYy115aINNJW364,10.11.1.2,49588.0,10.11.1.3,80.0,,,,,,2.0,GET,10.11.1.3,/drupal/core/themes/bartik/logo.svg,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,3810.0,200.0,OK,[],['FDg92O1c8BHq8WEWB3'],http://10.11.1.3/drupal/,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1620640423.172241,COSPXQ3S3eoCTJOda3,10.11.1.2,49587.0,10.11.1.3,80.0,,,,,,2.0,GET,10.11.1.3,/drupal/core/misc/feed.svg,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,462.0,200.0,OK,[],['FvR1BukNzjjeoMUl4'],http://10.11.1.3/drupal/sites/default/files/css/css_2kXRTLnwwl-8oI9Jo8iFQ4gTuY_qcD0nTw3owQOvnoA.css?0,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1620640423.172176,CBl2hs4K8zaHiS7dZh,10.11.1.2,49570.0,10.11.1.3,80.0,,,,,,4.0,GET,10.11.1.3,/drupal/core/misc/icons/505050/loupe.svg,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,491.0,200.0,OK,[],['FZ1YRf23GRjOlOmO8d'],http://10.11.1.3/drupal/sites/default/files/css/css_2kXRTLnwwl-8oI9Jo8iFQ4gTuY_qcD0nTw3owQOvnoA.css?0,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1620640423.281381,COSPXQ3S3eoCTJOda3,10.11.1.2,49587.0,10.11.1.3,80.0,,,,,,3.0,GET,10.11.1.3,/drupal/core/misc/favicon.ico,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,5430.0,200.0,OK,[],['FxeF7h1q5yRj1VmdTi'],,['image/x-icon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1620640760.480662,CW1rid25hhvcpHfD5b,10.11.1.2,49898.0,10.11.1.3,8089.0,,,,,,1.0,GET,10.11.1.3:8089,/,,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,0.0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1620640760.699268,C2Mv6V12oug4lyesy2,10.11.1.2,49899.0,10.11.1.3,8089.0,,,,,,1.0,GET,10.11.1.3:8089,/,,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,0.0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1620640760.870697,CwUPBB1XTLpJFrXfEh,10.11.1.2,49900.0,10.11.1.3,8089.0,,,,,,1.0,GET,10.11.1.3:8089,/,,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,0.0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1620640761.042262,ClSjtv1DfQe8Z1XuQ1,10.11.1.2,49901.0,10.11.1.3,8089.0,,,,,,1.0,GET,10.11.1.3:8089,/,,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,0.0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1620640761.260681,CMxlHG33cFvIAr6rb3,10.11.1.2,49903.0,10.11.1.3,8089.0,,,,,,1.0,GET,10.11.1.3:8089,/,,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,0.0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1620640761.432291,ChK6wz1s7lrtkuqzlk,10.11.1.2,49904.0,10.11.1.3,8089.0,,,,,,1.0,GET,10.11.1.3:8089,/,,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,0.0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1620640761.666364,CcG9h7QVedgMNnxR,10.11.1.2,49905.0,10.11.1.3,8089.0,,,,,,1.0,GET,10.11.1.3:8089,/,,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,0.0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1620640761.869104,COEAPw1hXth92Bz4xk,10.11.1.2,49906.0,10.11.1.3,8089.0,,,,,,1.0,GET,10.11.1.3:8089,/,,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,0.0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1620640767.032833,CbSQMncWZYlMpM69l,10.11.1.2,49914.0,10.11.1.3,80.0,,,,,,1.0,GET,10.11.1.3,/drupal/core/misc/icons/424242/loupe.svg,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,491.0,200.0,OK,[],['FkQJ0VfFhCBckDNpj'],http://10.11.1.3/drupal/sites/default/files/css/css_2kXRTLnwwl-8oI9Jo8iFQ4gTuY_qcD0nTw3owQOvnoA.css?0,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1620640762.088226,CALHIrokHFgnTVMC8,10.11.1.2,49907.0,10.11.1.3,8089.0,,,,,,1.0,GET,10.11.1.3:8089,/,,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,0.0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1620640762.243633,CTjNvoIoBGhg8hCR5,10.11.1.2,49909.0,10.11.1.3,8089.0,,,,,,1.0,GET,10.11.1.3:8089,/,,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,0.0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1620640767.298092,CbSQMncWZYlMpM69l,10.11.1.2,49914.0,10.11.1.3,80.0,,,,,,2.0,GET,10.11.1.3,/drupal/search/node?keys=',1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,9744.0,200.0,OK,[],['F6jc1s3rRMAdCQT9wh'],http://10.11.1.3/drupal/,['text/html'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1620640768.483717,CbSQMncWZYlMpM69l,10.11.1.2,49914.0,10.11.1.3,80.0,,,,,,3.0,GET,10.11.1.3,/drupal/sites/default/files/css/css_2ud1l8AYT-mA2srFCxTDcpG9V5EgtOQkSNUVPaX_2iQ.css?0,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,8914.0,200.0,OK,[],['F4292v22alQRuCDjM2'],http://10.11.1.3/drupal/search/node?keys=%27,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1620640768.641884,C2A3mH1Nd5gSuQhNZd,10.11.1.2,49917.0,10.11.1.3,80.0,,,,,,1.0,GET,10.11.1.3,/drupal/sites/default/files/css/css_x31qZ9R_dLdUMFiFNMu52HUqPawfDWIAkxtquG2WDxw.css?0,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,1113.0,200.0,OK,[],['FvDlOK36tf52hQkXGj'],http://10.11.1.3/drupal/search/node?keys=%27,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1620640768.641883,C0EyLN2DbS1ZmEUN34,10.11.1.2,49916.0,10.11.1.3,80.0,,,,,,1.0,GET,10.11.1.3,/drupal/core/themes/bartik/css/components/messages.css?0,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,243.0,200.0,OK,[],['FIHysw3HJ4RCdMTXW6'],http://10.11.1.3/drupal/search/node?keys=%27,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1620640768.641743,CbSQMncWZYlMpM69l,10.11.1.2,49914.0,10.11.1.3,80.0,,,,,,4.0,GET,10.11.1.3,/drupal/sites/default/files/css/css_WAmG7IRzpAOxqWHTiESEJH4445pZZrqSrxAtMdk4uXc.css?0,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,52333.0,200.0,OK,[],['Fv0RsU67cTs4FjsVk'],http://10.11.1.3/drupal/search/node?keys=%27,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1620640768.81124,CbSQMncWZYlMpM69l,10.11.1.2,49914.0,10.11.1.3,80.0,,,,,,5.0,GET,10.11.1.3,/drupal/core/misc/icons/e29700/warning.svg,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,412.0,200.0,OK,[],['FUtytU3RgyCeWYSt83'],http://10.11.1.3/drupal/sites/default/files/css/css_WAmG7IRzpAOxqWHTiESEJH4445pZZrqSrxAtMdk4uXc.css?0,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1620640771.572453,CbSQMncWZYlMpM69l,10.11.1.2,49914.0,10.11.1.3,80.0,,,,,,6.0,GET,10.11.1.3,/drupal/,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,8219.0,200.0,OK,[],['F713swDR8lLQWrd54'],http://10.11.1.3/drupal/search/node?keys=%27,['text/html'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1620640776.034461,CbSQMncWZYlMpM69l,10.11.1.2,49914.0,10.11.1.3,80.0,,,,,,7.0,GET,10.11.1.3,/drupal/user/login,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,10348.0,200.0,OK,[],['FxGsxws1d8S2AyUx2'],http://10.11.1.3/drupal/,['text/html'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1620640776.424325,CbSQMncWZYlMpM69l,10.11.1.2,49914.0,10.11.1.3,80.0,,,,,,8.0,GET,10.11.1.3,/drupal/sites/default/files/css/css_2ud1l8AYT-mA2srFCxTDcpG9V5EgtOQkSNUVPaX_2iQ.css?0,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,8914.0,200.0,OK,[],['FFXcYJ24GnIPi5SfV9'],http://10.11.1.3/drupal/user/login,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1620640776.517902,CbSQMncWZYlMpM69l,10.11.1.2,49914.0,10.11.1.3,80.0,,,,,,9.0,GET,10.11.1.3,/drupal/core/themes/bartik/images/tabs-border.png,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,83.0,200.0,OK,[],['Ftt0S929ibL7yVwvs8'],http://10.11.1.3/drupal/sites/default/files/css/css_2kXRTLnwwl-8oI9Jo8iFQ4gTuY_qcD0nTw3owQOvnoA.css?0,['image/png'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1620640776.595836,CbSQMncWZYlMpM69l,10.11.1.2,49914.0,10.11.1.3,80.0,,,,,,10.0,GET,10.11.1.3,/drupal/core/misc/icons/ee0000/required.svg,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,513.0,200.0,OK,[],['FP8NRa3Wl5DA9Vc6Lb'],http://10.11.1.3/drupal/sites/default/files/css/css_2kXRTLnwwl-8oI9Jo8iFQ4gTuY_qcD0nTw3owQOvnoA.css?0,['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1620640782.321171,CeOHYd1kVyqrOsoypc,10.11.1.2,49945.0,10.11.1.3,80.0,,,,,,1.0,POST,10.11.1.3,/drupal/user/login,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,122.0,10973.0,200.0,OK,[],['F1NWx92E5DGKqrCfPj'],http://10.11.1.3/drupal/user/login,['text/html'],http://10.11.1.3,['FccNU1CGYGcrS9Zh3'],['text/plain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
